modCodeStr,dbCodeStr,season,exportDate,RV,effectType,likelihood,mean,sd,q_025,q_5,q_975,mode,kld
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,intercept_nonzero,fixed,normal,-0.3592800632506049,0.08201292047421448,-0.5216554962455018,-0.35909977332706217,-0.19813635989600695,-0.3587448990754324,1.3266825956809035e-12
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,O_imscoverage_nonzero,fixed,normal,0.133750822092343,0.012137536103375274,0.10991993458866942,0.13375020176372854,0.15756319770689767,0.13374999563221587,0
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,O_careseek_nonzero,fixed,normal,0.028190889245952908,0.012446560290318464,0.0037527516147422384,0.028190419996947175,0.05260910927184182,0.028190535913175184,7.348536295495708e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,O_insured_nonzero,fixed,normal,-0.0635289953625404,0.026699444693463175,-0.11594791238723272,-0.06353142616823068,-0.011144974809975207,-0.06353408022255469,7.60458962397758e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_poverty_nonzero,fixed,normal,-0.018257844808554694,0.016685341912186645,-0.051019161055527014,-0.018258275375866037,0.014475662200967916,-0.0182577327120089,7.009911250552507e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_child_nonzero,fixed,normal,-0.05270140986481985,0.053569330067627964,-0.15788207483139496,-0.05270334540058733,0.05239306742556173,-0.05270267721114563,7.178462045559065e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_adult_nonzero,fixed,normal,-0.032773386013766836,0.04065611200428517,-0.11259860871285583,-0.03277517918585973,0.04698824172166767,-0.03277530665543324,6.8872817445938556e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_hospaccess_nonzero,fixed,normal,-0.01363805358110446,0.013249401716290587,-0.03965308043108611,-0.013638363344635387,0.012354715195470985,-0.013637863699430644,7.179772160683006e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_popdensity_nonzero,fixed,normal,0.02571883466371321,0.012820427242417273,5.465869618059178e-4,0.02571837149025377,0.05087045896437823,0.025718534006578652,7.585829584583906e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_housdensity_nonzero,fixed,normal,0.0024014438273304134,0.017776870557430727,-0.032501597603184586,0.002400492498144337,0.037277614753603604,0.0024001088047210374,6.8630067663248375e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_vaxcovC_nonzero,fixed,normal,0.2572338217716013,0.07958220959464209,0.10093077320600433,0.25701836898929387,0.4145156398806954,0.25660851894017783,7.587140255837916e-13
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_vaxcovA_nonzero,fixed,normal,-0.24126624297030005,0.1031634002266199,-0.44617854059476203,-0.24077747164324628,-0.039339623862194834,-0.2398241455114408,2.690099655216799e-12
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_priorImmunity_nonzero,fixed,normal,-0.04091490858756743,0.04779307422826288,-0.13475257820947104,-0.04091717313965271,0.05284886709750303,-0.04091763866595964,7.214793234195603e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_humidity_nonzero,fixed,normal,-0.19875274503195003,0.033275743600306856,-0.26418266355148495,-0.19872055527058716,-0.13355938566683237,-0.19865151218563068,7.833299087795747e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_pollution_nonzero,fixed,normal,0.10177416913275131,0.021980737121374813,0.05859031493891837,0.10178208553207722,0.14487454682734102,0.10180002885708615,6.2832416453983736e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,X_singlePersonHH_nonzero,fixed,normal,-0.044994707594117445,0.015407374240363545,-0.07524642304863283,-0.04499522420252386,-0.01476800382294428,-0.04499495232086932,6.394123340391645e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,Precision for the Gaussian observations,hyperpar,NA,5.659267112487149,1.017582572064242,3.9255562439254623,5.569907326329811,7.908058626672945,5.3959798150636376,NA
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,Precision for fips_nonzero,hyperpar,normal,5.6497895540993746,1.0143393274872863,3.9208879386776294,5.561023485850293,7.890605455450646,5.388358589150734,NA
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,Precision for fips_st_nonzero,hyperpar,normal,3.6578429738284024,0.7949945149527521,2.312017662146247,3.5886384974882657,5.416042062556522,3.462570687725544,NA
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01001,spatial,normal,5.55830850471656e-10,0.42481403391075295,-0.8369476289029286,-1.2540271766386235e-5,0.8359426721758106,-2.3844658390864623e-11,1.5466516139063308e-16
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01003,spatial,normal,-0.1378493791577833,0.300147812584702,-0.7274607269346937,-0.13776175534773075,0.4507378533637719,-0.13755622084648633,8.222194148495061e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01005,spatial,normal,5.553900635223384e-10,0.4248140339107529,-0.8369476289033884,-1.2540272199979108e-5,0.835942672175355,-2.425618595946762e-11,7.776583515270497e-17
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01007,spatial,normal,0.42867039547603025,0.3078463347804101,-0.17487656766497717,0.42842056620959873,1.0330353306194455,0.42791404506280123,5.784280890145181e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01009,spatial,normal,0.40959711503683016,0.3069023069013469,-0.19218487928807348,0.40936869415808824,1.0120818246561791,0.40890967427873776,4.714872205986116e-15
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01011,spatial,normal,5.56079739734078e-10,0.4248140339107527,-0.8369476289026683,-1.2540271521105079e-5,0.8359426721760757,-2.3594789077943114e-11,7.776583597988559e-17
9a_iliSum_2009p_v1-2,_ilinDt_Octfit_2009p_span0.4_degree2,10,2017-05-12,01013,spatial,normal,5.548427307393073e-10,0.4248140339107529,-0.836947628903961,-1.2540272738561941e-5,0.8359426721747883,-2.4779478866854802e-11,7.776583515270497e-17
